entitySlug,entityName,previousProductionStatus,newProductionStatus,actionTaken,localPath,notes
"jetour","Jetour","missing","strong","migrated_to_production","/logos/entities/jetour.jpg","Upgraded from missing to strong"
"montes","Montes","missing","strong","migrated_to_production","/logos/entities/montes.jpg","Upgraded from missing to strong"
"eucerin-sun","Eucerin Sun","missing","strong","migrated_to_production","/logos/entities/eucerin-sun.jpg","Upgraded from missing to strong"
"little-caesars","Little Caesars","weak","strong","migrated_to_production","/logos/entities/little-caesars.jpg","Upgraded from weak to strong"
"universidad-de-concepcion","Universidad de Concepción","missing","strong","migrated_to_production","/logos/entities/universidad-de-concepcion.jpg","Upgraded from missing to strong"
"carolina","Carolina","weak","strong","migrated_to_production","/logos/entities/carolina.jpg","Upgraded from weak to strong"
"mercado-pago","Mercado Pago","weak","strong","migrated_to_production","/logos/entities/mercado-pago.svg","Upgraded from weak to strong"
"tapp","Tapp","missing","strong","migrated_to_production","/logos/entities/tapp.jpg","Upgraded from missing to strong"
"dyson","Dyson","weak","strong","migrated_to_production","/logos/entities/dyson.jpg","Upgraded from weak to strong"
"royal-canin","Royal Canin","missing","strong","migrated_to_production","/logos/entities/royal-canin.jpg","Upgraded from missing to strong"
"superzoo","SuperZoo","missing","strong","migrated_to_production","/logos/entities/superzoo.jpg","Upgraded from missing to strong"
"saxoline","Saxoline","missing","strong","migrated_to_production","/logos/entities/saxoline.jpg","Upgraded from missing to strong"
"forever-21","Forever 21","missing","strong","migrated_to_production","/logos/entities/forever-21.jpg","Upgraded from missing to strong"
"h-m","H&M","missing","strong","migrated_to_production","/logos/entities/h-m.jpg","Upgraded from missing to strong"
"sodimac","Sodimac","weak","strong","migrated_to_production","/logos/entities/sodimac.jpg","Upgraded from weak to strong"
"acuenta","aCuenta","missing","strong","migrated_to_production","/logos/entities/acuenta.jpg","Upgraded from missing to strong"
"maconline","MacOnline","missing","strong","migrated_to_production","/logos/entities/maconline.jpg","Upgraded from missing to strong"
"directv","DIRECTV","weak","strong","migrated_to_production","/logos/entities/directv.jpg","Upgraded from weak to strong"